tract_id, community_id
17031842400,44
17031840300,59
17031841100,34
17031841200,31
17031838200,28
17031650301,65
17031530503,53
17031760803,76
17031540102,54
17031540101,54
17031440201,44
17031839000,32
17031030601,77
17031030604,77
17031020801,2
17031843300,29
17031080202,8
17031070102,7
17031031501,3
17031031502,3
17031834900,67
17031834800,68
17031160502,16
17031140702,14
17031842000,35
17031150402,15
17031834400,42
17031040201,4
17031040202,4
17031020702,2
17031020802,2
17031020301,2
17031838700,29
17031841500,29
17031838600,29
17031837300,27
17031837800,28
17031837400,27
17031836900,27
17031020601,2
17031020602,2
17031020302,2
17031020902,2
17031010701,1
17031030103,77
17031030102,77
17031010502,1
17031010503,1
17031010702,1
17031837100,27
17031837000,27
17031010201,1
17031020901,2
17031040401,4
17031210602,21
17031160501,16
17031191302,19
17031190602,19
17031840200,60
17031530501,53
17031831400,25
17031831300,25
17031833000,28
17031760801,76
17031020701,2
17031010501,1
17031252101,25
17031252102,25
17031252202,25
17031220601,22
17031210502,21
17031220602,22
17031220901,22
17031220902,22
17031200401,20
17031200402,20
17031191301,19
17031190601,19
17031190701,19
17031190702,19
17031190401,19
17031190402,19
17031832100,6
17031843800,61
17031842800,58
17031980100,56
17031833300,28
17031832900,28
17031838000,28
17031838100,28
17031833100,28
17031839100,32
17031030706,77
17031150401,15
17031150501,15
17031842900,28
17031841900,28
17031843000,29
17031842100,23
17031080201,8
17031070101,7
17031063301,6
17031063303,6
17031081201,8
17031081202,8
17031040402,4
17031220702,22
17031842200,8
17031842300,24
17031843700,5
17031835000,66
17031835100,63
17031834700,68
17031151001,15
17031151002,15
17031160602,16
17031140601,14
17031140701,14
17031140602,14
17031140301,14
17031841800,69
17031842500,69
17031842600,61
17031843500,30
17031843400,29
17031843200,31
17031140302,14
17031110501,11
17031110502,11
17031760802,76
17031150502,15
17031843100,29
17031834300,45
17031843900,42
17031831200,20
17031831600,18
17031831500,19
17031831100,21
17031831700,15
17031440202,44
17031440102,44
17031430102,43
17031030702,77
17031030603,77
17031030701,77
17031840800,30
17031836300,41
17031838300,8
17031839800,60
17031836600,23
17031730202,73
17031430101,43
17031063302,6
17031836200,41
17031840100,60
17031580502,58
17031841400,29
17031081401,8
17031081403,8
17031030703,77
17031836000,38
17031835800,38
17031835900,38
17031834500,40
17031843600,38
17031834600,68
17031831800,13
17031832600,7
17031061901,6
17031770602,76
17031839700,60
17031839900,60
17031835200,56
17031838800,51
17031833900,46
17031836800,27
17031836700,23
17031832200,22
17031831000,22
17031832400,22
17031770902,76
17031660301,66
17031660302,66
17031252201,25
